                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1261                                     1552                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.4444912921976782E+007                  3.7143809303990388E-003                  2.9277091933362349E+003                  1.6124980363229130E+005                  1.5607986658799830E+003                  1.1136372248449165E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6526468674410031E-011                  3.2472065663159815E-008                  0.0000000000000000E+000                  1.3726589057703678E-001                  1.0664837123610347E-006                  1.1909413802417298E+001                  0.0000000000000000E+000                  3.6938779715024057E+000                  1.2888052316705281E-004                  3.4028624700167849E+000                  4.3779469158148465E-001                  2.3587901421397255E-002                  1.8541343097033534E+000                  1.2698396522588757E+000                  6.2917857301198721E+000                  4.5311433240938781E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7882662962762195E+008                  1.3271365178778165E+001                  7.3856919724225707E+005                  3.4638133721038116E+010                  4.3206327783197728E-003                  7.0692940611230964E+006                  3.7978512397116722E+010                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.5584678402657450E+014                               "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250604"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.1909413802417298E+001                  3.1933468851657993E+000                  3.4665279364594164E+000                 -8.9726475899558782E+000                  2.2815484625271965E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332801514415103E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.1909413802407771E+001                  3.1933468851653179E+000                  3.4665279364707917E+000                 -8.9726475898774112E+000                  2.2815484626181273E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332801517004792E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.1909413802372793E+001                  3.1933468851635531E+000                  3.4665279365085060E+000                 -8.9726475896172424E+000                  2.2815484629196150E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332801525591245E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.1909413802260215E+001                  3.1933468851578812E+000                  3.4665279366247232E+000                 -8.9726475888155441E+000                  2.2815484638486345E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332801552050132E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.1909413801918108E+001                  3.1933468851406377E+000                  3.4665279370071782E+000                 -8.9726475861772652E+000                  2.2815484669059165E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332801639122664E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.1909413800763906E+001                  3.1933468850824691E+000                  3.4665279384554233E+000                 -8.9726475761868727E+000                  2.2815484784829456E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332801968840859E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.1909413796252030E+001                  3.1933468848550732E+000                  3.4665279439479906E+000                 -8.9726475382976325E+000                  2.2815485223896097E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332803219319496E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.1909413779274917E+001                  3.1933468839994479E+000                  3.4665279569628447E+000                 -8.9726474485175807E+000                  2.2815486264281892E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332806182378553E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.1909413745333014E+001                  3.1933468822888109E+000                  3.4665279821778170E+000                 -8.9726472745777777E+000                  2.2815488279924496E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332811923008607E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.1909413680624418E+001                  3.1933468790275699E+000                  3.4665280274022958E+000                 -8.9726469626069676E+000                  2.2815491895092888E+000                  6.7059455534439594E-001                  3.0937968388879522E-001                  2.0025760766808842E-002                  1.4332822219156919E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
